id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
650130232683672972,Crown Hill Creek-front Craftsman with Hot Tub,456579564,Tyler,Other neighborhoods,Greenwood,47.6997243,-122.3652789,Entire home/apt,100,30,5,4/22/2024,0.2,3,265,1,
650144759432953236,Water and Needle View Townhome with Rooftop Deck,19953823,Devin,Queen Anne,Lower Queen Anne,47.62725,-122.35913,Entire home/apt,244,3,168,12/19/2024,5.58,1,352,63,STR-OPLI-22-001109
650286647760690482,Private guest suite in modern townhome + patio,101598408,Jensen,Beacon Hill,North Beacon Hill,47.58651,-122.31631,Entire home/apt,107,2,87,10/13/2024,2.84,1,297,22,STR-OPLI-22-000855
650688939413323490,Cascade Room @ Judkins Park Inn - Next to Downtown,130470547,Ben,Central Area,Atlantic,47.59404,-122.30229,Private room,54,1,257,12/16/2024,8.4,3,307,121,STR-OPLI-22-000804
650720068540940897,Judkins Park Inn - Two Rooms - Close to Downtown,130470547,Ben,Central Area,Atlantic,47.59427,-122.30244,Private room,159,1,34,10/13/2024,1.14,3,299,9,STR-OPLI-22-000804
651424520093981671,Uni of W area private Rm makes you like Seattleite,275126297,Charlie,Other neighborhoods,Bryant,47.67277,-122.2871,Private room,45,1,51,10/21/2024,1.69,7,360,6,STR-opli-22-000874
651523335084722451,Amaze lake location light rail minutes to downtown,28379912,Daniel James Rogers,Other neighborhoods,Green Lake,47.67543,-122.32635,Private room,46,30,5,11/29/2024,0.28,20,270,3,
651537067664965454,"Lake and light rail walk, jog, bike minutes",28379912,Daniel James Rogers,Other neighborhoods,Green Lake,47.67501,-122.32579,Private room,75,30,3,5/3/2024,0.12,20,180,1,
651594537647854079,One Bedroom Apartment near Space Needle,99932610,Mercer Furnished Apartments,Queen Anne,Lower Queen Anne,47.62323,-122.35572,Entire home/apt,106,1,196,12/8/2024,6.91,2,0,83,STR-OPLI-21-000291
651655241224051709,3b/1.5bath 1800sq ft *Northgate* Pet friendly,121926245,Kathy,Northgate,Maple Leaf,47.703867,-122.3179906,Entire home/apt,289,2,48,11/30/2024,2.76,1,219,35,STR-OPLI-23-000499
651709886023739183,"Spacious retreat with fireplace, patio and views",3419611,Sundee,Other neighborhoods,Phinney Ridge,47.67434,-122.35754,Entire home/apt,495,2,46,10/6/2024,1.53,1,198,18,STR-OPLI-22-001040
652211862013645778,Modern and Private Suite in Vibrant Fremont,3843674,Ana,Other neighborhoods,Fremont,47.6615,-122.34913,Entire home/apt,108,2,157,12/15/2024,5.43,1,84,66,STR-OPLI-22-001126
652840147979005885,Stylish Condo in the Heart of Seattle!,386420269,Kathryn And Mike,Downtown,Belltown,47.61375,-122.34641,Entire home/apt,107,2,96,8/30/2024,3.31,27,322,26,STR-OPLI-22-001028
652935981382962826,Greenlake View Home,1282652,Amanda,Other neighborhoods,Phinney Ridge,47.67374372861236,-122.3508367,Entire home/apt,214,6,7,7/9/2024,0.24,2,23,3,STR-OPLI-22-001114
